Industrial segment,DSR type / end-use,End-use load share (%),Flex reduction (%),Flex cost (£/MWh),DSR capacity (% of load)
"Food, Drink & Cold Processing",Refrigeration & process cooling,19.9,90.0,200.0,17.909999999999997
"Food, Drink & Cold Processing",Pumping & fluid handling,6.0,85.0,200.0,5.1
"Food, Drink & Cold Processing","Fans, blowers & ventilation",3.0,80.0,250.0,2.4
Machinery & Advanced Manufacturing,Pumping & fluid handling,9.5,85.0,200.0,8.075
Machinery & Advanced Manufacturing,Refrigeration & process cooling,2.2,90.0,200.0,1.9800000000000002
Machinery & Advanced Manufacturing,HVAC & space conditioning,2.2,70.0,200.0,1.54
Machinery & Advanced Manufacturing,"Fans, blowers & ventilation",11.3,80.0,250.0,9.04
Other Industrial & Process Loads,Pumping & fluid handling,15.1,85.0,200.0,12.835
Other Industrial & Process Loads,Refrigeration & process cooling,3.2,90.0,200.0,2.88
Other Industrial & Process Loads,HVAC & space conditioning,1.4,70.0,200.0,0.98
Other Industrial & Process Loads,"Fans, blowers & ventilation",12.0,80.0,250.0,9.6
"Timber, Wood & Building Products",Pumping & fluid handling,9.6,85.0,200.0,8.16
"Timber, Wood & Building Products","Fans, blowers & ventilation",9.2,80.0,250.0,7.36
Water & Wastewater,Pumping & fluid handling,67.9,85.0,200.0,57.71500000000001
Water & Wastewater,Water & wastewater processes,13.7,90.0,225.0,12.33
Water & Wastewater,"Fans, blowers & ventilation",2.1,80.0,250.0,1.68
